Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
HMGB4	chr1	34326076	34330392	+	NA	DJ1007G16.5,FLJ40388	high mobility group box 4	gene with protein product	1p35.1	ENSG00000176256	NM_145205	
KRTAP10-8	chr21	46031996	46032871	+	NA	KAP10.8,KRTAP18-8,KRTAP18.8,KAP18-8,KRTAP10.8	keratin associated protein 10-8	gene with protein product	21q22.3	ENSG00000187766	NM_198695	
OR6B2	chr2	240968382	240969873	-	NA	OR2-1,OR6B2P	olfactory receptor family 6 subfamily B member 2	gene with protein product	2q37.3	ENSG00000182083	NM_001005853	
RDH16	chr12	57345222	57353158	-	NA	RODH-4,SDR9C8,RODH4,SHORT CHAIN DEHYDROGENASE/REDUCTASE FAMILY 9C, MEMBER 8	retinol dehydrogenase 16 (all-trans)	gene with protein product	12q13.3	ENSG00000139547	NM_003708	9677409|10329026|19027726
CYP2A7	chr19	41381344	41388657	-	NA	CYP2A,CPA7,CYPIIA7,P450-IIA4	cytochrome P450 family 2 subfamily A member 7	gene with protein product	19q13.2	ENSG00000198077	NM_030589	7668294|15128046
FAM9B	chrX	8993146	9132680	-	NA	TEX39B,TESTIS EXPRESSED 39B	family with sequence similarity 9 member B	gene with protein product	Xp22.31	ENSG00000177138	NM_205849	12213195|21085121|21998597|22936694
DIO1	chr1	54359860	54376759	+	NA	5DI,TXDI1,DIDO1	iodothyronine deiodinase 1	gene with protein product	1p32.3	ENSG00000211452	NM_000792	8964838
CLDN2	chrX	106143394	106174089	+	NA	NA	claudin 2	gene with protein product	Xq22.3	ENSG00000165376	NM_001171092	9892664
GZMM	chr19	544034	549924	+	NA	LMET1,MET1,LYMPHOCYTE MET-ASE 1	granzyme M	gene with protein product	19p13.3	ENSG00000197540	NM_005317	8119738
MYH15	chr3	108099216	108248169	-	NA	KIAA1000	myosin heavy chain 15	gene with protein product	3q13.13	ENSG00000144821	XM_036988	15014174|15042088
CHRNA2	chr8	27317278	27336813	-	NA	ACETYLCHOLINE RECEPTOR, NICOTINIC, ALPHA 2 (NEURONAL)	cholinergic receptor nicotinic alpha 2 subunit	gene with protein product	8p21.2	ENSG00000120903	NM_000742	1505988
PDZRN4	chr12	41582250	41967920	+	NA	LNX4,SAMCAP3L,DKFZP434B0417,FLJ33777,IMAGE5767589,SEMCAP3L,SIMILAR TO SEMAF CYTOPLASMIC DOMAIN ASSOCIATED PROTEIN 3	PDZ domain containing ring finger 4	gene with protein product	12q12	ENSG00000165966	NM_013377	11230166|15010864
ANKS4B	chr16	21244986	21265166	+	NA	HARP,FLJ38819	ankyrin repeat and sterile alpha motif domain containing 4B	gene with protein product	16p12.2	ENSG00000175311	NM_145865	
DEFB129	chr20	207899	210527	+	NA	BA530N10.3,C20ORF87,DEFB-29,DEFB29,HBD-29	defensin beta 129	gene with protein product	20p13	ENSG00000125903	NM_080831	11854508
CD209	chr19	7804880	7812420	-	NA	CDSIGN,CLEC4L,DC-SIGN,DC-SIGN1	CD209 molecule	gene with protein product	19p13.2	ENSG00000090659	NM_021155	1518869
PRM3	chr16	11367075	11367498	-	NA	NA	protamine 3	gene with protein product	16p13.13	ENSG00000178257	NM_021247	8720108|9827065
CAPN6	chrX	110488331	110513751	-	NA	CALPM,CANPX,CAPNX,DJ914P14.1	calpain 6	gene with protein product	Xq23	ENSG00000077274	NM_014289	9503024|9339374
FKBP6	chr7	72742167	72772555	+	NA	PPIASE,FKBP36,FKBP10,IMMUNOPHILIN FKBP36	FK506 binding protein 6	gene with protein product	17q21.2	ENSG00000141756	NM_021939	9782077|19001379
CCL26	chr7	75398851	75419214	-	NA	IMAC,MIP-4A,MIP-4ALPHA,SCYA26,TSC-1,EOTAXIN-3	C-C motif chemokine ligand 26	gene with protein product	7q11.23	ENSG00000006606	NM_006072	10373330
MUC2	chr11	1074875	1104419	+	NA	MLP	mucin 2, oligomeric mucus/gel-forming	gene with protein product	11p15.5	ENSG00000198788	NM_002457	15081123
KCNG4	chr16	84252273	84273304	-	NA	KV6.4,KCNG3	potassium voltage-gated channel modifier subfamily G member 4	gene with protein product	16q24.1	ENSG00000168418	NM_172347	12060745|16382104
SPRR3	chr1	152974223	152976331	+	NA	SPRC	small proline rich protein 3	gene with protein product	1q21.3	ENSG00000163209	NM_005416	8325635
NPIPL1	chr16	28467693	28481868	-	NA	NPIPB7	NA	unknown	16p12.1	ENSG00000233232	NG_023370	NA
PCK1	chr20	56136136	56143168	+	NA	PEPCK-C,PEPCK1,PEPCKC	phosphoenolpyruvate carboxykinase 1	gene with protein product	20q13.31	ENSG00000124253	NM_002591	1492743
PLCH2	chr1	2357419	2411243	+	NA	PLC-ETA2,PLC-L4,PLCETA2,PLCL4,KIAA0450,RP3-395M20.1	phospholipase C eta 2	gene with protein product	1p36.32	ENSG00000149527	NM_014638	15899900
FAM108A6	chr22	22469236	22472374	-	NA	ABHD17AP5	NA	pseudogene	22q11.22	ENSG00000263366	NG_000002	NA
OCSTAMP	chr20	45169585	45179213	-	NA	C20ORF123,DJ257E24.3,OC-STAMP	osteoclast stimulatory transmembrane protein	gene with protein product	20q13.12	ENSG00000149635	XM_496476	18064667
OR10A6	chr11	7949180	7950209	-	NA	OR11-96	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	gene with protein product	11p15.4	ENSG00000279000	NM_001004461	
FAM55B	chr11	114549108	114577655	+	NA	NXPE2	NA	gene with protein product	11q23.2	ENSG00000204361	NM_182495	NA
LCE1F	chr1	152748848	152749204	+	NA	LEP6	late cornified envelope 1F	gene with protein product	1q21.3	ENSG00000240386	NM_178354	11698679
APOBEC4	chr1	183615539	183622448	-	NA	C1ORF169,FLJ25691,MGC26594,RP1-127C7.4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	gene with protein product	1q25.3	ENSG00000173627	NM_203454	16082223
ATP6V0D2	chr8	86999552	87111315	+	NA	VMA6,ATP6D2,FLJ38708	ATPase H+ transporting V0 subunit d2	gene with protein product	8q21.3	ENSG00000147614	NM_152565	12384298
GPR113	chr2	26531041	26569685	-	NA	ADGRF3	NA	gene with protein product	2p23.3	ENSG00000173567	NM_153835	NA
TMIGD2	chr19	4292229	4302428	-	NA	CD28H,IGPR-1,IGPR1,MGC23244,IMMUNOGLOBULIN-CONTAINING AND PROLINE-RICH RECEPTOR-1	transmembrane and immunoglobulin domain containing 2	gene with protein product	19p13.3	ENSG00000167664	NM_144615	22419821|23784006
UBD	chr6	29523292	29527702	-	NA	FAT10,GABBR1,UBD-3	ubiquitin D	gene with protein product	6p22.1	ENSG00000213886	NM_006398	9368598|8662070
MC3R	chr20	54823788	54824871	+	NA	BMIQ9,MC3,MC3-R,OB20,OQTL	melanocortin 3 receptor	gene with protein product	20q13.2	ENSG00000124089	NM_019888	8463333
ZFP14	chr19	36825355	36870101	-	NA	ZNF531,KIAA1559	ZFP14 zinc finger protein	gene with protein product	19q13.13	ENSG00000142065	NM_020917	10997877
TTR	chr18	29171689	29178974	+	NA	CTS,CTS1,HEL111,HST2651,PALB,TBPA	transthyretin	gene with protein product	18q12.1	ENSG00000118271	NM_000371	8309582
ZNF609	chr15	64791491	64978267	+	NA	KIAA0295	zinc finger protein 609	gene with protein product	15q22.1	ENSG00000180357	XM_042833	9205841
GVIN1	chr11	6734767	6767670	-	NA	GVINP1	NA	pseudogene	11p15.4	ENSG00000254838	NR_003945	NA
WFDC8	chr20	44179792	44207965	-	NA	C20ORF170,DJ461P17.1,HEL-S-292,WAP8	WAP four-disulfide core domain 8	gene with protein product	20q13.12	ENSG00000158901	NM_130896	12206714
AMTN	chr4	71384257	71398459	+	NA	UNQ689,RSTI689	amelotin	gene with protein product	4q13.3	ENSG00000187689	NM_212557	16304441
KIR3DL3	chr19	55235984	55248003	+	NA	CD158Z,KIR2DS2,KIR3DL7,KIR44,KIRC1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3	gene with protein product	19q13.42	ENSG00000242019	NM_153443	11513144
RPE65	chr1	68894505	68915642	-	NA	BCO3,LCA2,MRPE65,RD12,RP20,SRPE65	RPE65, retinoid isomerohydrolase	gene with protein product	1p31.3	ENSG00000116745	NM_000329	8340400|16116091
LRRC19	chr9	26993134	27005691	-	NA	FLJ21302	leucine rich repeat containing 19	gene with protein product	9p21.2	ENSG00000184434	NM_022901	
SLC28A2	chr15	45544428	45570043	+	NA	CNT2,HCNT2,HST17153,SPNT1	solute carrier family 28 member 2	gene with protein product	15q21.1	ENSG00000137860	NM_004212	9435697
PLAC4	chr21	42547158	42557166	-	NA	C21ORF115,MGC126664,MGC126666,PRED78	placenta specific 4	gene with protein product	21q22.2	ENSG00000280109	NM_182832	
OR5K3	chr3	98109510	98110475	+	NA	NA	olfactory receptor family 5 subfamily K member 3	gene with protein product	3q11.2	ENSG00000206536	NM_001005516	
PDYN	chr20	1959403	1974931	-	NA	ADCA,PENKB,SCA23	prodynorphin	gene with protein product	20p13	ENSG00000101327	NM_001190892	21035104
HIGD1B	chr17	42923721	42927844	+	NA	CLST11240,CLST11240-15	HIG1 hypoxia inducible domain family member 1B	gene with protein product	17q21.31	ENSG00000131097	NM_016438	12477932
SERPINI2	chr3	167159577	167196792	-	NA	MEPI,PANCPIN,PI14,TSA2004	serpin family I member 2	gene with protein product	3q26.1	ENSG00000114204	NM_006217	9624529|24172014
AKAP6	chr14	32798479	33306887	+	NA	ADAP100,ADAP6,AKAP100,MAKAP,PRKA6,KIAA0311,PROTEIN KINASE A ANCHORING PROTEIN 6	A-kinase anchoring protein 6	gene with protein product	14q12	ENSG00000151320	NM_004274	7721854|9205841
CABP5	chr19	48533210	48547310	-	NA	CABP3	calcium binding protein 5	gene with protein product	19q13.33	ENSG00000105507	NM_019855	10625670
KRTAP3-1	chr17	39164773	39175576	-	NA	KAP3.1,KRTAP3.1	keratin associated protein 3-1	gene with protein product	17q21.2	ENSG00000212901	NM_031958	11279113
OR7A10	chr19	14951760	14952689	-	NA	BC85395_3	olfactory receptor family 7 subfamily A member 10	gene with protein product	19p13.1	ENSG00000127515	NM_001005190	
CTSG	chr14	25042728	25045456	-	NA	CATG,CG	cathepsin G	gene with protein product	14q12	ENSG00000100448	NM_001911	2569462
PIK3C2A	chr11	17099277	17229467	-	NA	CPK,PI3-K-C2(ALPHA),PI3-K-C2A,PI3K-C2-ALPHA,PI3K-C2ALPHA	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	gene with protein product	11p15.1	ENSG00000011405	NM_002645	9337861
REN	chr1	204124066	204159452	-	NA	HNFJ2,KCTD11	renin	gene with protein product	1q32.1	ENSG00000143839	NM_000537	
ZNF648	chr1	182023705	182030847	-	NA	FLJ46813	zinc finger protein 648	gene with protein product	1q25.3	ENSG00000179930	XM_060597	
FBP2	chr9	97321002	97356075	-	NA	PCNX4	fructose-bisphosphatase 2	gene with protein product	14q23.1	ENSG00000126773	NM_022495	9678974
CD1E	chr1	158323486	158327343	+	NA	CD1A	CD1e molecule	gene with protein product	1q23.1	ENSG00000158488	NM_030893	10948205
SLC26A3	chr7	107405912	107443670	-	NA	CLD,DRA	solute carrier family 26 member 3	gene with protein product	7q22.3-q31.1	ENSG00000091138	NM_000111	8020951|11087667
CTAGE6	chr7	143452182	143454789	-	NA	CTAGE6P,MGC41943	CTAGE family member 6	gene with protein product	7q35	ENSG00000271321	NM_178561	12477932
NMUR2	chr5	151775059	151812929	-	NA	FM-4,FM4,NMU-R2,NMU2R,TGR-1,TGR1	neuromedin U receptor 2	gene with protein product	5q33.1	ENSG00000132911	NM_020167	8940772|10894543
FNDC9	chr5	156768608	156772729	-	NA	C5ORF40,MGC27121	fibronectin type III domain containing 9	gene with protein product	5q33.3	ENSG00000172568	NM_001001343	
KRT4	chr12	53200333	53208335	-	NA	CK-4,CK4,CYK4,K4,WSN1	keratin 4	gene with protein product	12q13.13	ENSG00000170477	NM_002272	16831889
OR51T1	chr11	4903049	4904113	+	NA	OR11-26	olfactory receptor family 51 subfamily T member 1	gene with protein product	11p15.4	ENSG00000176900	NM_001004759	
FAM170A	chr5	118965254	118971517	+	NA	ZNFD	family with sequence similarity 170 member A	gene with protein product	5q23.1	ENSG00000164334	NM_182761	12477932|20162441
TMEM82	chr1	16068917	16074477	+	NA	NA	transmembrane protein 82	gene with protein product	1p36.21	ENSG00000162460	NM_001013641	
ABCA10	chr17	67144148	67240987	-	NA	EST698739	ATP binding cassette subfamily A member 10	gene with protein product	17q24.3	ENSG00000154263	NM_080282	12821155|11435397
CCR9	chr3	45927996	45944669	+	NA	ACKR2,CC-CKR-9,CDW199,GPR-9-6,GPR28	C-C motif chemokine receptor 9	gene with protein product	3p21.31	ENSG00000173585	NM_001256369	10229797
DNAJB8	chr3	128181285	128186091	-	NA	CT156,DJ6,MGC33884	DnaJ heat shock protein family (Hsp40) member B8	gene with protein product	3q21.3	ENSG00000179407	NM_153330	
OR10P1	chr12	56030644	56031638	+	NA	OR10P1P,OR10P2P,OR10P3P,OR12-7,OST701	olfactory receptor family 10 subfamily P member 1	gene with protein product	12q13.2	ENSG00000175398	NM_206899	
USP50	chr15	50792759	50838902	-	NA	NA	ubiquitin specific peptidase 50	gene with protein product	15q21.1	ENSG00000170236	NM_203494	12838346
HHLA2	chr3	108015337	108097127	+	NA	B7-H5,B7-H7,B7H7,B7Y	HERV-H LTR-associating 2	gene with protein product	3q13.13	ENSG00000114455	NM_007072	10444326|23784006|22488247
C9ORF79	chr9	90497741	90503814	+	NA	SPATA31E1	NA	gene with protein product	9q22.1	ENSG00000177992	NM_178828	NA
TCRBV9S1A1T	chr7	142008365	142008871	+	NA	TRBV3-1	NA	T-cell receptor gene	7q34	ENSG00000237702	NG_001333	NA
KRT72	chr12	52979373	52995322	-	NA	K6IRS,K6IRS2,KRT6,KRT6IRS2,KB35	keratin 72	gene with protein product	12q13.13	ENSG00000170486	NM_080747	12648212|11703281|16831889
OR1B1	chr9	125390858	125391852	-	NA	OR9-26,OR9-B	olfactory receptor family 1 subfamily B member 1 (gene/pseudogene)	gene with protein product	9q33.2	ENSG00000280094	NM_001004450	
TAS2R46	chr12	11213964	11214893	-	NA	T2R46,T2R54	taste 2 receptor member 46	gene with protein product	12p13.2	ENSG00000226761	NM_176887	12379855
CYP4F22	chr19	15619304	15663128	+	NA	ARCI5,INLNE,LI3,FLJ39501	cytochrome P450 family 4 subfamily F member 22	gene with protein product	19p13.12	ENSG00000171954	NM_173483	16436457
ITIH2	chr10	7745232	7791483	+	NA	H2P,IGHEP2	inter-alpha-trypsin inhibitor heavy chain 2	gene with protein product	10p14	ENSG00000151655	NM_002216	1385302|10100603
OR4C46	chr11	51515282	51516211	+	NA	NA	olfactory receptor family 4 subfamily C member 46	gene with protein product	11q11	ENSG00000185926	NM_001004703	
ZMYND17	chr10	75183337	75193318	-	NA	MSS51	NA	gene with protein product	10q22.2	ENSG00000166343	NM_178451	NA
CYP4F24P	chr19	15871051	15890719	-	NA	NA	cytochrome P450 family 4 subfamily F member 24, pseudogene	pseudogene	19p13.12	ENSG00000267594	NR_033864	
EXD2	chr14	69658483	69710737	+	NA	C14ORF114,EXDL2,FLJ10738,GN   EXDL2	exonuclease 3'-5' domain containing 2	gene with protein product	14q24.1	ENSG00000081177	NM_001193360	
C20ORF79	chr20	18794370	18795036	+	NA	SCP2D1	NA	gene with protein product	20p11.23	ENSG00000132631	NM_178483	NA
CCL19	chr9	34689564	34691274	-	NA	CKB11,ELC,MIP-3B,MIP3B,SCYA19,EXODUS-3	C-C motif chemokine ligand 19	gene with protein product	9p13.3	ENSG00000172724	NM_006274	9153236
KRTAP27-1	chr21	31709331	31710012	-	NA	KAP27.1	keratin associated protein 27-1	gene with protein product	21q22.11	ENSG00000206107	NM_001077711	
PSG8	chr19	43256879	43359843	-	NA	NA	pregnancy specific beta-1-glycoprotein 8	gene with protein product	19q13.2	ENSG00000124467	NM_001130167	1672663|1572651
SOHLH2	chr13	36742345	36788752	-	NA	BHLHE81,SOSF2,SPATA28,TEB1,FLJ20449,SPERMATOGENESIS ASSOCIATED 28	spermatogenesis and oogenesis specific basic helix-loop-helix 2	gene with protein product	13q13.3	ENSG00000120669	NM_017826	12477932
KRTAP25-1	chr21	31661463	31661832	-	NA	KAP25.1	keratin associated protein 25-1	gene with protein product	21q22.11	ENSG00000232263	NM_001128598	
OR1L4	chr9	125486269	125487204	+	NA	OR1L5,OR9-29,OR9-E,OST046	olfactory receptor family 1 subfamily L member 4	gene with protein product	9q33.2	ENSG00000136939	NM_001005235	
KIAA1149		NA	NA		NA	NA	NA	NA	NA	NA	NA	NA
ITLN1	chr1	160846329	160854960	-	NA	HL-1,HINTL,INTL,ITLN,LFR,OMENTIN,FLJ20022	intelectin 1	gene with protein product	1q23.3	ENSG00000179914	NM_017625	11313366|11181563
LYZL4	chr3	42438570	42452092	-	NA	LYC4,LYZA,MGC26768	lysozyme like 4	gene with protein product	3p22.1	ENSG00000157093	NM_144634	16014814
FAM186B	chr12	49976669	49999410	-	NA	C12ORF25,DKFZP434J0113	family with sequence similarity 186 member B	gene with protein product	12q13.12	ENSG00000135436	NM_032130	11230166
ADIG	chr20	37209838	37217106	+	NA	SMAF1,MGC39724,RP5-1100H13.2,SMALL ADIPOCYTE FACTOR 1	adipogenin	gene with protein product	20q11.23	ENSG00000182035	NM_001018082	15567149|16132694
FFAR3	chr19	35849362	35851387	+	NA	FFA3R,GPR41,GPR42	free fatty acid receptor 3	gene with protein product	19q13.12	ENSG00000126251	NM_005305	9344866|22493486
IL33	chr9	6215786	6257982	+	NA	C9ORF26,DVS27,IL1F11,NF-HEV,NFEHEV,DKFZP586H0523,NFHEV	interleukin 33	gene with protein product	9p24.1	ENSG00000137033	NM_033439	10566975|12819012
UGT2B4	chr4	70350926	70391732	-	NA	HLUG25,UDPGT2B4,UDPGTH-1,UDPGTH1,UGT2B11	UDP glucuronosyltransferase family 2 member B4	gene with protein product	4q13.2	ENSG00000213759	NM_001073	3109396|7835904
CLDN17	chr21	31537882	31539074	-	NA	MGC126552,MGC126554	claudin 17	gene with protein product	21q21.3	ENSG00000156282	NM_012131	12736707
ZNRF4	chr19	5455442	5456867	+	NA	RNF204,SPERIZIN,SPZN,SSRZF1,NIXIN	zinc and ring finger 4	gene with protein product	19p13.3	ENSG00000105428	NM_181710	10191088|21205830
AK098727		NA	NA		NA	NA	NA	NA	NA	NA	NA	NA
TMC1	chr9	75136717	75451267	+	NA	DFNA36,DFNB11,DFNB7	transmembrane channel like 1	gene with protein product	9q21.13	ENSG00000165091	NM_138691	11850618|11850623
OC90	chr8	133036467	133071627	-	NA	PLA2L	otoconin 90	gene with protein product	8q24.22	ENSG00000253117	NM_001080399	10329003|9860971
KIAA1456	chr8	12803151	12889012	+	NA	C8ORF79,TRM9L,FLJ36980	KIAA1456	gene with protein product	8p22	ENSG00000250305	NM_001099677	23381944
ACPT	chr19	51293672	51298481	+	NA	ACP4	NA	NA	NA	NA	NA	NA
PPEF2	chr4	76781025	76823681	-	NA	PPP7CB,PROTEIN PHOSPHATASE 7, CATALYTIC SUBUNIT, BETA ISOZYME	protein phosphatase with EF-hand domain 2	gene with protein product	4q21.1	ENSG00000156194	NM_006239	9326663|12051765
OR52W1	chr11	6220376	6221489	+	NA	OR11-71,OR52W1P	olfactory receptor family 52 subfamily W member 1	gene with protein product	11p15.4	ENSG00000175485	NM_001005178	
OR4S2	chr11	55418380	55419315	+	NA	OR11-137,OR4S2P,OST725	olfactory receptor family 4 subfamily S member 2	gene with protein product	11q11	ENSG00000174982	NM_001004059	
SLC4A5	chr2	74443369	74570534	-	NA	SLC4A4,NBC4,NBCE2	solute carrier family 4 member 5	gene with protein product	2p13.1	ENSG00000188687	NM_021196	10978526|11087115
LENEP	chr1	154966062	154966791	+	NA	LEP503	lens epithelial protein	gene with protein product	1q21.3	ENSG00000163352	NM_018655	10655141|11376938
GPHA2	chr11	64701943	64703360	-	NA	A2,GPA2,ZSIG51,MGC126572,CYSTEINE KNOT PROTEIN	glycoprotein hormone alpha 2	gene with protein product	11q13.1	ENSG00000149735	NM_130769	11809971
CAPN9	chr1	230883161	230937749	+	NA	GC36,NCL-4,NCL4,NOVEL CALPAIN LARGE SUBUNIT-4	calpain 9	gene with protein product	1q42.2	ENSG00000135773	NM_006615	9524069|10835488
TAS2R30	chr12	11285557	11287243	-	NA	T2R30,T2R47,TAS2R47	taste 2 receptor member 30	gene with protein product	12p13.2	ENSG00000256188	NM_001097643	
ERMN	chr2	158175151	158184225	-	NA	JN,KIAA1189,ERMIN	ermin	gene with protein product	2q24.1	ENSG00000136541	NM_001009959	16051705|16421295
AMBP	chr9	116822407	116840752	-	NA	A1M,EDC1,HCP,HI30,IATIL,ITI,ITIL,ITILC,UTI	alpha-1-microglobulin/bikunin precursor	gene with protein product	9q32	ENSG00000106927	NM_001633	1708673|1385302
DEFB114	chr6	49927962	49931818	-	NA	DEFB-14,DEFB14	defensin beta 114	gene with protein product	6p12.3	ENSG00000177684	NM_001037499	11854508|16033865
ZSCAN5B	chr19	56700939	56709289	-	NA	ZNF371,ZNF495B	zinc finger and SCAN domain containing 5B	gene with protein product	19q13.43	ENSG00000197213	NM_001080456	
SLC22A7	chr6	43266002	43273276	+	NA	NLT,OAT2	solute carrier family 22 member 7	gene with protein product	6p21.1	ENSG00000137204	NM_006672	9650585|10773670
CNTN3	chr3	74311719	74570291	-	NA	BIG-1,PANG,PCS,KIAA1496	contactin 3	gene with protein product	3p12.3	ENSG00000113805	NM_020872	8661054|8586965
SCGB1D1	chr11	61957688	61961011	+	NA	LIPA,LPHA,LPNA,MGC71958,LIPHA,LIPOPHILIN A (UTEROGLOBIN FAMILY MEMBER)	secretoglobin family 1D member 1	gene with protein product	11q12.3	ENSG00000168515	NM_006552	9720917|10066439|22155607
CYP4F2	chr19	15988833	16008930	-	NA	CPF2	cytochrome P450 family 4 subfamily F member 2	gene with protein product	19p13.12	ENSG00000186115	NM_001082	8424651|8026587
WFDC13	chr20	44330655	44337456	+	NA	C20ORF138,DJ601O1.3,WAP13	WAP four-disulfide core domain 13	gene with protein product	20q13.11	ENSG00000168634	NM_172005	12206714
OR6F1	chr1	247875131	247876057	-	NA	OR1-34,OR1-38,OST731	olfactory receptor family 6 subfamily F member 1	gene with protein product	1q44	ENSG00000169214	NM_001005286	
RBP2	chr3	139173614	139199565	-	NA	CRABP-II,KDM5A,CRBP2,CRBPII,RBPC2	retinol binding protein 2	gene with protein product	3q23	ENSG00000114113	NM_004164	7657783|10072590
MYT1L	chr2	1792885	2334966	-	NA	MRD39,MYT1-L,NZF1,ZC2H2C2,ZC2HC4B,KIAA1106,NEURAL ZINC FINGER TRANSCRIPTION FACTOR 1	myelin transcription factor 1 like	gene with protein product	2p25.3	ENSG00000186487	NM_015025	9373037
TRIM49	chr11	89530823	89541743	-	NA	RNF18,TRIM49A	tripartite motif containing 49	gene with protein product	11p11.12-q12	ENSG00000168930	NM_020358	11018261
FRMD7	chrX	131211023	131262048	-	NA	NYS,NYS1,XIPAN,FLJ43346,RP6-213H19.2	FERM domain containing 7	gene with protein product	Xq26.2	ENSG00000165694	NM_194277	2063919|17013395
ZBTB7C	chr18	45553044	45935793	-	NA	APM-1,ZBTB36,ZNF857C	zinc finger and BTB domain containing 7C	gene with protein product	18q21.1	ENSG00000184828	NM_001039360	
H2BFWT	chrX	103265719	103268259	-	NA	NA	H2B histone family member W, testis specific	gene with protein product	Xq22.2	ENSG00000123569	NM_001002916	12477932|15475252
PNCK	chrX	152937556	152954465	-	NA	BSTK3,CAMK1B,MGC45419	pregnancy up-regulated nonubiquitous CaM kinase	gene with protein product	Xq28	ENSG00000130822	NM_198452	12477932
C2ORF66	chr2	197669726	197675000	-	NA	IIDS6411,UNQ6411	chromosome 2 open reading frame 66	gene with protein product	2q33.1	ENSG00000187944	NM_213608	
CCDC79	chr16	66788879	66835523	-	NA	TERB1	NA	gene with protein product	16q22.1	ENSG00000249961	NM_001136505	NA
CEACAM20	chr19	45005729	45033811	-	NA	UNQ9366	carcinoembryonic antigen related cell adhesion molecule 20	gene with protein product	19q13.31	ENSG00000273777	NM_198444	12975309
PKD2L1	chr10	102047911	102090243	-	NA	PCL,PKD2L,PKDL,TRPP3	polycystin 2 like 1, transient receptor potential cation channel	gene with protein product	10q24.31	ENSG00000107593	NM_016112	9878261|9748274
KRTAP4-3	chr17	39323483	39324446	-	NA	KAP4.3,KRTAP4.3	keratin associated protein 4-3	gene with protein product	17q21.2	ENSG00000196156	NM_033187	
AMY1C	chr1	104293028	104301312	+	NA	AMY1	amylase, alpha 1C (salivary)	gene with protein product	1p21.1	ENSG00000187733	NM_001008219	
UCP3	chr11	73711326	73720480	-	NA	SLC25A9	uncoupling protein 3	gene with protein product	11q13.4	ENSG00000175564	NM_003356	9480760|9196039
C12ORF28	chr12	70219096	70352877	+	NA	MYRFL	NA	gene with protein product	12q15	ENSG00000166268	NM_182530	NA
CPS1	chr2	211342433	211543831	+	NA	CPSASE1,PHN,CYP21A2,PM20D1,CARBAMOYL-PHOSPHATE SYNTHASE (AMMONIA)	carbamoyl-phosphate synthase 1	gene with protein product	1q32.1	ENSG00000162877	NM_152491	
OR8J1	chr11	56127691	56128764	+	NA	OR11-183	olfactory receptor family 8 subfamily J member 1	gene with protein product	11q12.1	ENSG00000172487	NM_001005205	
TSPY3	chrY	9236030	9238826	+	NA	CT78	testis specific protein, Y-linked 3	gene with protein product	Yp11.2	ENSG00000228927	NM_001077697	
KCNAB1	chr3	155755490	156232213	+	NA	AKR6A3,HKVB3,HKVBETA3,KCNA1B,KV-BETA-1,KVB1.3,K+ CHANNEL BETA1A CHAIN	potassium voltage-gated channel subfamily A member regulatory beta subunit 1	gene with protein product	3q25.31	ENSG00000169282	NM_003471	8838324|7499366
EDNRB	chr13	78469616	78493903	-	NA	ABCDS,ET-B,ET-BR,ETB,ETB1,ETBR,ETRB,HSCR,HSCR2,WS4A	endothelin receptor type B	gene with protein product	13q22.3	ENSG00000136160	NM_000115	1659806|9556633
ZP4	chr1	238041164	238054222	-	NA	ZBP,ZP-4,ZP1,ZPB	zona pellucida glycoprotein 4	gene with protein product	1q43	ENSG00000116996	NM_021186	7841460
VSIG1	chrX	107288200	107322414	+	NA	1700062D20RIK,DJ889N15.1,GPA34,MGC44287	V-set and immunoglobulin domain containing 1	gene with protein product	Xq22.3	ENSG00000101842	NM_182607	12477932
OR2T35	chr1	248801588	248802559	-	NA	NA	olfactory receptor family 2 subfamily T member 35	gene with protein product	1q44	ENSG00000177151	NM_001001827	
BAAT	chr9	104122699	104145801	-	NA	BACAT,BAT,GLYCINE N-CHOLOYLTRANSFERASE	bile acid-CoA:amino acid N-acyltransferase	gene with protein product	9q31.1	ENSG00000136881	NM_001701	
GPR22	chr7	107110505	107116104	+	NA	NA	G protein-coupled receptor 22	gene with protein product	7q22.3	ENSG00000172209	NM_005295	9073069
FAM55A	chr11	114392437	114430580	-	NA	NXPE1	NA	gene with protein product	11q23.2	ENSG00000095110	NM_152315	NA
PLB1	chr2	28718938	28866654	+	NA	PLB,PLB/LIP,FLJ30866	phospholipase B1	gene with protein product	2p23.2	ENSG00000163803	NM_001170585	12150957
C14ORF129	chr14	96829789	96853623	+	NA	GSKIP	NA	gene with protein product	14q32.2	ENSG00000100744	NM_016472	NA
SPINT3	chr20	44141101	44144264	-	NA	HKIB9,SPINT4	serine peptidase inhibitor, Kunitz type 3	gene with protein product	20q13.12	ENSG00000149651	XM_372869	21988899
UNC93A	chr6	167684657	167709684	+	NA	DJ366N23.1,DJ366N23.2,UNC-93A	unc-93 homolog A	gene with protein product	6q27	ENSG00000112494	NM_018974	12381271
